一级分类,二级分类,应用名称
writing,writing_marketing,01Agent
coding,coding_generation,1btc1btc
chat,chat_general,爱派AiPy
coding,coding_generation,遨虾
video,video_generation,白日梦
video,video_generation,必剪Studio
video,video_generation,蝉镜
video,video_generation,场辞
image,image_generation,超能画布
image,image_generation,创客贴AI画匠
chat,chat_general,磁力开创
audio,audio_synthesis,大饼AI变声
chat,chat_general,逗逗AI
chat,chat_general,度加创作工具
image,image_generation,堆友AI反应堆
video,video_generation,堆友AI视频
video,video_generation,多维视界
chat,chat_general,飞影数字人
image,image_generation,稿定AI
chat,chat_general,稿定AI社区
office,office_document,光速写作
video,video_generation,鬼手剪辑GhostCut
video,video_generation,海螺视频
audio,audio_synthesis,海绵音乐
video,video_generation,花生AI
image,image_generation,绘蛙
image,image_generation,绘蛙AI视频
video,video_generation,绘想
video,video_generation,绘影字幕
chat,chat_general,混沌Deep Innovation
chat,chat_general,即创
video,video_generation,即梦AI
audio,audio_synthesis,简单听记
image,image_generation,简单AI
chat,chat_general,椒图AI
video,video_generation,阶跃视频
video,video_generation,巨日禄
video,video_generation,开拍
chat,chat_general,酷宣AI
video,video_generation,快剪辑
video,video_generation,快转字幕
video,video_generation,录咖
chat,chat_general,萌动AI
writing,writing_marketing,秘塔捉捉猫
chat,chat_general,秘塔AI搜索
chat,chat_general,秒创
chat,chat_general,妙播
video,video_generation,模力视频
image,image_generation,摩笔马良
chat,chat_general,魔搭GPT（ModelScopeGPT）
coding,coding_generation,魔珐星云
video,video_generation,内容特工队
chat,chat_general,千音漫语
chat,chat_general,切问学术
chat,chat_general,如此AI员工
video,video_generation,闪剪
chat,chat_general,神笔马良
video,video_generation,腾讯混元AI视频
audio,audio_synthesis,天谱乐
chat,chat_general,听脑AI
chat,chat_general,通义灵眸
video,video_generation,通义万相AI视频
video,video_generation,团队快剪
video,video_generation,万彩微影
writing,writing_marketing,万能小in
video,video_generation,万兴天幕
chat,chat_general,问小白
video,video_generation,雾象
video,video_generation,献丑AI
chat,chat_general,小墨鹰编辑器
video,video_generation,寻光
writing,writing_marketing,讯飞译制
video,video_generation,一起剪
chat,chat_general,亿话
video,video_generation,艺映AI
audio,audio_synthesis,音潮
audio,audio_synthesis,音虫
